tenure_months,monthly_charges,contract_type,payment_method,is_fiber,promo_active,support_tickets_90d,app_logins_30d,churn
7,57.48,two-year,paypal,1,1,1,25,0
55,55.84,month-to-month,paypal,1,0,3,15,0
47,80.38,month-to-month,paypal,1,1,2,14,0
32,81.38,month-to-month,debit,1,0,1,16,0
31,54.3,month-to-month,credit-card,0,0,2,21,0
61,56.94,two-year,credit-card,0,0,0,21,0
7,75.82,month-to-month,transfer,1,1,2,15,0
50,48.45,month-to-month,transfer,0,1,0,25,0
15,56.79,month-to-month,transfer,1,0,0,16,0
7,66.79,two-year,credit-card,1,0,1,18,0
38,84.92,month-to-month,transfer,0,1,1,19,0
70,52.91,one-year,paypal,0,1,0,19,0
53,28.15,one-year,transfer,0,0,0,21,0
55,26.67,month-to-month,transfer,0,1,0,25,0
51,39.81,month-to-month,credit-card,1,1,4,11,0
56,38.74,month-to-month,debit,1,1,3,15,0
37,61.91,month-to-month,transfer,0,0,1,14,0
10,41.22,one-year,transfer,1,1,0,22,1
60,50.94,one-year,transfer,0,1,1,26,0
32,49.52,month-to-month,transfer,1,1,1,18,0
36,56.19,month-to-month,transfer,1,1,2,12,0
27,91.45,month-to-month,debit,0,1,1,18,0
13,78.24,month-to-month,transfer,1,1,1,20,0
66,65.32,one-year,debit,1,1,0,15,0
56,55.78,one-year,debit,0,0,0,26,1
46,56.34,one-year,debit,0,1,2,15,0
29,71.55,month-to-month,transfer,1,1,2,21,0
59,76.68,month-to-month,paypal,0,1,0,14,0
39,46.85,month-to-month,transfer,0,1,0,19,0
32,65.73,two-year,credit-card,0,0,0,13,0
32,24.37,one-year,transfer,1,1,3,19,0
17,69.23,two-year,debit,0,1,1,17,0
7,80.24,month-to-month,credit-card,1,1,0,21,0
40,59.4,month-to-month,credit-card,0,1,0,23,0
64,101.33,one-year,paypal,0,0,3,17,0
5,47.38,month-to-month,debit,1,0,0,12,0
61,69.35,one-year,credit-card,0,1,2,14,0
59,64.28,month-to-month,credit-card,1,1,1,15,0
